filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
2019-04-10-0a429b7a-d897-4886-b1d1-e86b15b9781a.jpg,20542,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[179,180,210,209,208],""all_points_y"":[136,146,132,124,124]}","{""class"":""plate"",""view"":""slantview"",""with_content"":""No""}"
2019-04-10-0b9461e8-ace9-418c-b0ca-97ea4e36c99d.jpg,83549,"{}",6,0,"{""name"":""polygon"",""all_points_x"":[136,137,146,150,147],""all_points_y"":[670,685,685,679,670]}","{""class"":""S"",""view"":"""",""with_content"":""""}"
2019-04-10-0b9461e8-ace9-418c-b0ca-97ea4e36c99d.jpg,83549,"{}",6,1,"{""name"":""polygon"",""all_points_x"":[154,151,163,157],""all_points_y"":[671,685,684,670]}","{""class"":""A"",""view"":"""",""with_content"":""""}"
2019-04-10-0b9461e8-ace9-418c-b0ca-97ea4e36c99d.jpg,83549,"{}",6,2,"{""name"":""polygon"",""all_points_x"":[133,138,142,145,143,133],""all_points_y"":[687,701,701,687,686,686]}","{""class"":""7"",""view"":"""",""with_content"":""""}"
2019-04-10-0b9461e8-ace9-418c-b0ca-97ea4e36c99d.jpg,83549,"{}",6,3,"{""name"":""polygon"",""all_points_x"":[148,148,148,152,150,156,160,156,149],""all_points_y"":[688,694,694,697,702,702,691,685,685]}","{""class"":""9"",""view"":"""",""with_content"":""""}"
2019-04-10-0b9461e8-ace9-418c-b0ca-97ea4e36c99d.jpg,83549,"{}",6,4,"{""name"":""polygon"",""all_points_x"":[162,163,166,165,162],""all_points_y"":[688,704,703,685,687]}","{""class"":""1"",""view"":"""",""with_content"":""""}"
2019-04-10-0b9461e8-ace9-418c-b0ca-97ea4e36c99d.jpg,83549,"{}",6,5,"{""name"":""polygon"",""all_points_x"":[117,117,182,181],""all_points_y"":[668,703,703,670]}","{""class"":""plate"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-0bab367a-a38e-4517-ae56-39c6519e313a.jpg,74652,"{}",6,0,"{""name"":""polygon"",""all_points_x"":[202,206,213,209,202],""all_points_y"":[378,391,378,377,377]}","{""class"":""T"",""view"":"""",""with_content"":""""}"
2019-04-10-0bab367a-a38e-4517-ae56-39c6519e313a.jpg,74652,"{}",6,1,"{""name"":""polygon"",""all_points_x"":[215,223,223,213,213],""all_points_y"":[390,388,377,377,386]}","{""class"":""C"",""view"":"""",""with_content"":""""}"
2019-04-10-0bab367a-a38e-4517-ae56-39c6519e313a.jpg,74652,"{}",6,2,"{""name"":""polygon"",""all_points_x"":[199,209,209,197],""all_points_y"":[390,391,404,404]}","{""class"":""5"",""view"":"""",""with_content"":""""}"
